C 10
What is the capital of Japan?,Seoul,Beijing,Tokyo,Bangkok,C
What is the chemical symbol for water?,CO2,H2O,O2,NH3,B
Who invented the light bulb?,Newton,Edison,Einstein,Curie,B
What is the largest continent?,Africa,Asia,Europe,Antarctica,B
What is 5 + 7?,10,11,12,13,C
Who painted the Mona Lisa?,Da Vinci,Picasso,Van Gogh,Michelangelo,A
What is the primary language spoken in Brazil?,Spanish,French,Portuguese,English,C
How many sides does a triangle have?,2,3,4,5,B
What is the boiling point of water in Celsius?,90,100,110,120,B
Which animal is known as the "king of the jungle"?,Tiger,Lion,Elephant,Cheetah,B
