C 10
What is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,B
What is the process by which plants make food?,Photosynthesis,Respiration,Fermentation,Osmosis,A
Who developed the theory of relativity?,Newton,Einstein,Hawking,Curie,B
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C
What is the main gas found in the Earth's atmosphere?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,C
Who wrote the “Iliad” and the “Odyssey”?,Socrates,Homer,Virgil,Plato,B
Which planet is known as the "Red Planet"?,Earth,Mars,Jupiter,Saturn,B
What is the square root of 144?,10,11,12,13,C
Who is known as the "Father of Computers"?,Turing,Newton,Babbage,Jobs,C
What is the currency of the United Kingdom?,Euro,Dollar,Pound,Rupee,C
