C 10
What is the chemical formula for water?,H2,H2O,H2O2,O2,B
What planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B
What is the primary gas found in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,B
What force pulls objects towards Earth?,Friction,Magnetism,Gravity,Electromagnetism,C
How many chromosomes do humans have?,23,46,64,92,B
What organ is responsible for pumping blood through the body?,Lungs,Heart,Kidneys,Liver,B
What is the boiling point of water at sea level in Celsius?,50,75,100,150,C
What is the closest star to Earth?,Sirius,Polaris,Alpha Centauri,The Sun,D
What type of energy is stored in a battery?,Thermal,Mechanical,Chemical,Electrical,C
What is the term for animals that only eat plants?,Herbivores,Carnivores,Omnivores,Insectivores,A
