C 10
What is the most abundant element in the universe?,Oxygen,Hydrogen,Carbon,Nitrogen,B
Which organelle is responsible for energy production in cells?,Nucleus,Mitochondria,Ribosome,Lysosome,B
What type of rock is formed from molten lava?,Sedimentary,Metamorphic,Igneous,Fossiliferous,C
Which blood type is known as the universal donor?,A,B,AB,O,D
What is the powerhouse of the cell?,Golgi Apparatus,Endoplasmic Reticulum,Nucleus,Mitochondria,D
What is the acceleration due to gravity on Earth?,8.9 m/s²,9.8 m/s²,10.8 m/s²,11.8 m/s²,B
What is the pH of a neutral solution?,5,6,7,8,C
What process do plants use to convert sunlight into energy?,Respiration,Photosynthesis,Digestion,Fermentation,B
What subatomic particle has a negative charge?,Proton,Neutron,Electron,Photon,C
Which planet has the most moons?,Earth,Mars,Jupiter,Saturn,C
